x,y,bool_1,bool_2,value,Seen
323.96484375,156.01039123535156,True,False,0.9384264945983888,True
334.0014953613281,157.8941192626953,True,False,0.887228786945343,True
342.025390625,106.13961791992188,True,False,0.7323449850082397,True
342.0522766113281,131.96542358398438,True,False,0.9278855919837952,True
324.03680419921875,172.2756805419922,True,False,0.8810457587242126,True
339.9220275878906,165.8124542236328,True,False,0.85471510887146,True
323.92431640625,155.9181671142578,True,False,0.9343738555908204,True
333.9676513671875,157.7872772216797,True,False,0.8907956480979919,True
341.9233703613281,106.12812042236328,True,False,0.7364965677261353,True
342.01837158203125,131.91690063476562,True,False,0.922447144985199,True
322.18023681640625,171.92579650878906,True,False,0.8805897831916809,True
339.7763671875,163.91860961914062,True,False,0.8739907145500183,True
323.8077392578125,153.98883056640625,True,False,0.9658516049385072,True
333.8476257324219,155.87631225585938,True,False,0.9182552695274352,True
340.17120361328125,106.19686889648438,True,False,0.7023593187332153,True
341.8846435546875,131.85488891601562,True,False,0.9232397079467772,True
320.06365966796875,168.40008544921875,True,False,0.8640912771224976,True
337.8629455566406,162.12551879882812,True,False,0.8425655364990234,True
321.9936218261719,152.02798461914062,True,False,0.9416910409927368,True
332.0071716308594,154.0286102294922,True,False,0.8954058289527893,True
340.140625,106.24588012695312,True,False,0.704655110836029,True
340.2317199707031,130.07518005371094,True,False,0.9525039196014404,True
301.97857666015625,189.74632263183597,True,False,0.5669525861740112,True
329.99822998046875,164.01095581054688,True,False,0.6845126152038574,True
317.97491455078125,150.17132568359375,True,False,0.8887748718261719,True
326.18536376953125,153.9615478515625,True,False,0.7869877219200134,True
341.99078369140625,106.24388122558594,True,False,0.6598807573318481,True
340.1181640625,129.87852478027344,True,False,0.8969702124595642,True
303.88873291015625,187.84718322753903,True,False,0.5534273982048035,True
317.9697265625,173.97377014160156,True,False,0.9977142810821532,True
314.1802978515625,152.14419555664062,True,False,0.8439466953277588,True
323.8316345214844,155.80661010742188,True,False,0.7267172932624817,True
342.09912109375,107.98252868652344,True,False,0.6654582023620605,True
339.9913635253906,129.95960998535156,True,False,0.9033723473548888,True
301.9902038574219,182.01882934570312,True,False,0.5666602849960327,True
319.8995056152344,171.94300842285156,True,False,1.005325198173523,True
310.022705078125,156.0484161376953,True,False,0.7897266149520874,True
310.2445678710937,169.9005584716797,True,False,0.6535254120826721,True
342.0577697753906,108.1773452758789,True,False,0.6742798686027527,True
338.17828369140625,130.1152801513672,True,False,0.9184859991073608,True
300.25341796875,177.91490173339844,True,False,0.6183217763900757,True
319.900634765625,170.12623596191406,True,False,0.9673683643341064,True
303.90643310546875,161.7799072265625,True,False,0.851855456829071,True
312.29962158203125,164.18637084960938,True,False,0.766444981098175,True
342.0574951171875,108.25611114501952,True,False,0.6749301552772522,True
338.0211486816406,130.1268768310547,True,False,0.9132494330406188,True
295.869140625,169.8936767578125,True,False,0.7061343789100647,True
313.9394226074219,169.90634155273438,True,False,0.831929087638855,True
301.9646911621094,155.8804931640625,True,False,0.8790188431739807,True
308.29962158203125,160.15721130371094,True,False,0.8230920433998108,True
342.170654296875,110.29781341552734,True,False,0.6219922304153442,True
336.12994384765625,131.97979736328125,True,False,0.9034236669540404,True
291.9710998535156,166.0187530517578,True,False,0.700519323348999,True
310.0278015136719,168.14541625976562,True,False,0.7679822444915771,True
298.132568359375,153.96426391601562,True,False,0.8202594518661499,True
306.0244140625,159.8603515625,True,False,0.7624803185462952,True
343.8454284667969,112.0425033569336,True,False,0.6057185530662537,True
335.9896850585937,131.9932098388672,True,False,0.9042989015579224,True
287.9121398925781,163.82781982421875,True,False,0.7054407000541687,True
307.88677978515625,166.13404846191406,True,False,0.845271110534668,True
297.9224548339844,150.18507385253906,True,False,0.7695173621177673,True
